FID,id,cod_craai,cod_mun,municipio,zona_eleitoral,cd_local,nm_local,nm_local2,bairro,endereco,total_seção,total_aptos,X,Y,geom
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4561,4714,3,3300209,ARARUAMA,092,1112,E.M. JOÃO BRITO DE SOUZA,ESCOLA MUNICIPAL JOAO BRITO DE SOUZA,BOA PERNA,RUA CELSO VARGAS DE CARVALHO S/N,6,2370,-42.34466,-22.85605,POINT (-42.34465999999999 -22.856050000000018)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4560,4715,3,3300209,ARARUAMA,092,1120,E.M. JOÃO NUNES PEREIRA,ESCOLA MUNICIPAL JOÃO NUNES PEREIRA,ITATIQUARA,PRAÇA SÃO FRANCISCO DE ASSIS S/N,6,2327,-42.35655,-22.83084,POINT (-42.356550000000006 -22.830840000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-455f,4716,3,3300209,ARARUAMA,092,1376,ESCOLA MUNICIPAL DE PRODIGIO,ESCOLA MUNICIPAL DE PRODÍGIO,PRODÍGIO,FAZENDA PRODÍGIO - PRÓX. À IGREJA SANTO ANTONIO,2,508,-42.3245,-22.75533,POINT (-42.324499999999986 -22.75533000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-455e,4717,3,3300209,ARARUAMA,092,1210,E.M. TONINHO SENRA,ESCOLA MUNICIPAL TONINHO SENRA,REGAMÉ,ESTRADA DA PEDREIRA S/N,4,1124,-42.36876,-22.85414,POINT (-42.368759999999995 -22.85414000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-455d,4718,3,3300209,ARARUAMA,092,1350,E.M. SINVAL PINTO DE FIGUEIREDO,ESCOLA MUNICIPAL SINVAL PINTO DE FIGUEIREDO,MUTIRÃO,AV. BEIRA RIO S/N - PERTO DA CASA DA ALEGRIA,6,2363,-42.3413,-22.85974,POINT (-42.34130000000001 -22.859740000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-455c,4719,3,3300209,ARARUAMA,092,1147,ESCOLA MUNICIPAL PARATY,ESCOLA MUNICIPAL DE PARATY,PARATY,ESTRADA VELHA DE PARATY S/N,6,1967,-42.31362,-22.86392,POINT (-42.31362 -22.86392000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-455b,4720,3,3300209,ARARUAMA,092,1503,CENTRO EDUCACIONAL RENASCER,CENTRO EDUCACIONAL RENASCER,FAZENDINHA,RUA ARAPIRACA N. 44,6,819,-42.31946,-22.84928,POINT (-42.319460000000014 -22.84928000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-455a,4721,3,3300209,ARARUAMA,092,1279,E.M. SARA URRUTIA BAPTISTA,ESCOLA MUNICIPAL SARA URRUTIA BAPTISTA,ENGENHO NOVO,ESTRADA DE ENGENHO NOVO S/N - PROX. A FAZENDA DE OSCAR MAGALHAES,2,171,-42.26209,-22.83032,POINT (-42.26208999999999 -22.83032000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4559,4722,3,3300209,ARARUAMA,092,1422,E.M. JERONIMO CARLOS DO NASCIMENTO,ESCOLA MUNICIPAL JERONIMO CARLOS DO NASCIMENTO,PARACATU,RUA COUTO ROCHA S/N - PROX. AO ARMAZEM DO MOA,3,840,-42.37669,-22.81879,POINT (-42.37669 -22.81879000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4558,4723,3,3300209,ARARUAMA,092,1236,E.M. FRANCISCO DOMINGUES NETO,ESCOLA MUNICIPAL FRANCISCO DOMINGUES NETO,BOA VISTA,ESTR. DA BOA VISTA S/N - PERTO DO MERC. DE TONINHO JOEL,3,923,-42.33088,-22.81493,POINT (-42.33088000000001 -22.814930000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4557,4724,3,3300209,ARARUAMA,092,1163,E.M. VEREADOR ALCEBIADES CARVALHO DAS FLORES,ESCOLA MUNICIPAL VEREADOR ALCEBIADES CARVALHO DAS FLORES,FAZENDINHA,RUA MONLEVADE S/N - BNH,6,2184,-42.32159,-22.85927,POINT (-42.32158999999999 -22.85926999999999)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4556,4725,3,3300704,CABO FRIO,096,1023,Colégio Estadual Miguel Couto,COLÉGIO ESTADUAL MIGUEL COUTO,CENTRO,AV. 13 DE NOVEMBRO 51,14,4030,-42.01614,-22.88313,POINT (-42.016139999999986 -22.88313)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4555,4726,3,3300704,CABO FRIO,096,1996,Colégio Sagrado Coração de Jesus,COLÉGIO SAGRADO CORAÇÃO DE JESUS,CENTRO,AV. NILO PEÇANHA 140,8,3004,-42.01595,-22.87969,POINT (-42.01594999999999 -22.879689999999997)
